accidentid,date,year,time,junction,severity,primaryvehicletype,probablecause,weathercondition,injuredcount,fatalitycount,vehiclesinvolved,policecaseregistered,data_source,is_simulated
NGP-00472,2022-05-12,2022,09:29,LIC Chowk,Severe,Motorcycle,Brake Failure,Overcast,5,0,2,Yes,SIMULATED,True
NGP-00473,2022-05-14,2022,03:03,Chhatrapati Square,Minor,Motorcycle,Drunk Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00475,2022-05-16,2022,09:23,Mate Chowk,Minor,Motorcycle,Pothole/Road Defect,Foggy,1,0,1,Yes,SIMULATED,True
NGP-00474,2022-05-16,2022,17:37,Kamptee Chowk,Minor,Auto-Rickshaw,Overspeeding,Clear,0,0,4,Yes,SIMULATED,True
NGP-00476,2022-05-17,2022,20:37,Chhatrapati Square,Moderate,Motorcycle,Distracted Driving,Clear,2,0,1,Yes,SIMULATED,True
NGP-00477,2022-05-19,2022,06:43,Lokmat Square,Minor,Motorcycle,Signal Jumping,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00478,2022-05-20,2022,08:21,Ajni Chowk,Minor,Car,Signal Jumping,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-00479,2022-05-21,2022,15:18,Automotive Square,Moderate,Motorcycle,Lane Violation,Rainy,1,0,2,No,SIMULATED,True
NGP-00480,2022-05-26,2022,11:36,Ajit Bakery Square,Moderate,Motorcycle,Lane Violation,Rainy,2,0,2,Yes,SIMULATED,True
NGP-00481,2022-05-27,2022,18:27,Mate Chowk,Minor,Bus,Signal Jumping,Overcast,0,0,2,Yes,SIMULATED,True
NGP-00482,2022-05-28,2022,22:41,Ajni Chowk,Severe,Pedestrian-involved,Distracted Driving,Rainy,4,0,1,Yes,SIMULATED,True
NGP-00483,2022-05-30,2022,12:36,Mental Hospital Chowk,Moderate,Pedestrian-involved,Brake Failure,Foggy,3,0,2,Yes,SIMULATED,True
NGP-00484,2022-06-01,2022,09:39,Chhatrapati Square,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00485,2022-06-01,2022,13:21,LIC Chowk,Severe,Auto-Rickshaw,Drunk Driving,Foggy,3,0,2,Yes,SIMULATED,True
NGP-00486,2022-06-02,2022,16:44,Manakpur Chowk,Severe,Car,Signal Jumping,Clear,5,0,1,No,SIMULATED,True
NGP-00488,2022-06-03,2022,03:44,Mental Hospital Chowk,Moderate,Auto-Rickshaw,Pedestrian Crossing Violation,Foggy,2,0,2,Yes,SIMULATED,True
NGP-00487,2022-06-03,2022,06:05,Lokmat Square,Severe,Motorcycle,Overspeeding,Clear,2,0,4,Yes,SIMULATED,True
NGP-00489,2022-06-04,2022,18:09,Golibar Chowk,Moderate,Truck,Brake Failure,Foggy,2,0,1,Yes,SIMULATED,True
NGP-00490,2022-06-08,2022,20:00,Kachipura Square,Minor,Auto-Rickshaw,Signal Jumping,Clear,0,0,2,No,SIMULATED,True
NGP-00491,2022-06-10,2022,09:58,Hingna Chowk,Moderate,Truck,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-00492,2022-06-10,2022,12:26,Kamptee Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-00494,2022-06-13,2022,08:20,LIC Chowk,Moderate,Pedestrian-involved,Poor Visibility (Fog/Rain),Clear,1,0,4,Yes,SIMULATED,True
NGP-00493,2022-06-13,2022,15:02,Kasturchand Park Square,Moderate,Truck,Distracted Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00495,2022-06-13,2022,23:08,Manakpur Chowk,Minor,Pedestrian-involved,Pothole/Road Defect,Clear,1,0,3,Yes,SIMULATED,True
NGP-00496,2022-06-15,2022,12:36,Shankar Nagar Square,Minor,Auto-Rickshaw,Distracted Driving,Clear,1,0,3,No,SIMULATED,True
NGP-00497,2022-06-16,2022,20:52,Mental Hospital Chowk,Minor,Motorcycle,Distracted Driving,Rainy,1,0,4,No,SIMULATED,True
NGP-00498,2022-06-17,2022,05:48,Katol Road Chowk,Severe,Car,Drunk Driving,Clear,4,0,2,Yes,SIMULATED,True
NGP-00499,2022-06-20,2022,18:29,Kamptee Chowk,Moderate,Auto-Rickshaw,Lane Violation,Hot/Humid,2,0,2,No,SIMULATED,True
NGP-00500,2022-06-24,2022,23:01,Kadbi Chowk,Minor,Truck,Poor Visibility (Fog/Rain),Clear,1,0,3,Yes,SIMULATED,True
NGP-00501,2022-06-26,2022,05:50,Manish Nagar-Besa Junction,Moderate,Pedestrian-involved,Pothole/Road Defect,Rainy,3,0,3,Yes,SIMULATED,True
NGP-00502,2022-06-27,2022,19:12,Jhansi Rani Square,Moderate,Car,Distracted Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00504,2022-06-30,2022,04:46,LIC Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00503,2022-06-30,2022,19:11,Airport T-Point,Moderate,Motorcycle,Pedestrian Crossing Violation,Clear,2,0,3,Yes,SIMULATED,True
NGP-00506,2022-07-01,2022,17:05,Lokmat Square,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,3,Yes,SIMULATED,True
NGP-00505,2022-07-01,2022,17:38,Golibar Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-00507,2022-07-03,2022,12:08,Automotive Square,Minor,Motorcycle,Brake Failure,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00508,2022-07-04,2022,02:24,LAD Square,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00510,2022-07-05,2022,03:24,Mate Chowk,Minor,Motorcycle,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-00509,2022-07-05,2022,11:02,Itwari,Moderate,Motorcycle,Pedestrian Crossing Violation,Clear,2,0,2,No,SIMULATED,True
NGP-00511,2022-07-06,2022,11:12,Vaishnodevi Chowk,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Rainy,0,0,2,No,SIMULATED,True
NGP-00512,2022-07-07,2022,03:49,LAD Square,Minor,Truck,Brake Failure,Clear,0,0,1,Yes,SIMULATED,True
NGP-00514,2022-07-08,2022,08:26,Kamptee Chowk,Moderate,Car,Signal Jumping,Overcast,2,0,3,Yes,SIMULATED,True
NGP-00513,2022-07-08,2022,11:24,Alankar Square,Minor,Truck,Wrong-side Driving,Clear,1,0,2,No,SIMULATED,True
NGP-00515,2022-07-12,2022,22:30,Manish Nagar-Besa Junction,Moderate,Motorcycle,Lane Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-00516,2022-07-13,2022,13:38,Vaishnodevi Chowk,Moderate,Pedestrian-involved,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-00518,2022-07-14,2022,04:30,Lokmat Square,Minor,Auto-Rickshaw,Lane Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00517,2022-07-14,2022,12:35,LIC Chowk,Minor,Bus,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-00519,2022-07-16,2022,07:06,Alankar Square,Minor,Bus,Signal Jumping,Overcast,0,0,3,Yes,SIMULATED,True
NGP-00520,2022-07-16,2022,08:43,Automotive Square,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-00521,2022-07-17,2022,09:26,Golibar Chowk,Moderate,Auto-Rickshaw,Distracted Driving,Foggy,1,0,4,Yes,SIMULATED,True
NGP-00522,2022-07-18,2022,17:13,LIC Chowk,Severe,Motorcycle,Distracted Driving,Rainy,3,0,3,Yes,SIMULATED,True
NGP-00523,2022-07-19,2022,20:06,Golibar Chowk,Minor,Bicycle,Poor Visibility (Fog/Rain),Foggy,1,0,1,Yes,SIMULATED,True
NGP-00524,2022-07-20,2022,18:44,Kachipura Square,Minor,Motorcycle,Distracted Driving,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00528,2022-07-22,2022,03:47,Variety Square,Moderate,Auto-Rickshaw,Overspeeding,Hot/Humid,2,0,2,Yes,SIMULATED,True
NGP-00525,2022-07-22,2022,07:56,Airport T-Point,Minor,Car,Pedestrian Crossing Violation,Foggy,0,0,2,Yes,SIMULATED,True
NGP-00526,2022-07-22,2022,08:02,Manewada Chowk,Fatal,Motorcycle,Distracted Driving,Clear,3,1,3,Yes,SIMULATED,True
NGP-00527,2022-07-22,2022,11:24,Mental Hospital Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00529,2022-07-23,2022,15:15,Sitabuldi Chowk,Minor,Motorcycle,Distracted Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00531,2022-07-25,2022,04:35,Mate Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00530,2022-07-25,2022,10:34,Jhansi Rani Square,Minor,Car,Drunk Driving,Rainy,1,0,2,Yes,SIMULATED,True
NGP-00532,2022-07-27,2022,01:15,Lokmat Square,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-00533,2022-07-28,2022,12:41,Pratap Nagar Chowk,Minor,Motorcycle,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00534,2022-07-30,2022,00:45,Kamptee Chowk,Minor,Car,Overspeeding,Rainy,1,0,2,Yes,SIMULATED,True
NGP-00535,2022-07-31,2022,22:03,Sakkardara Square,Minor,Car,Distracted Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-00536,2022-08-01,2022,09:31,Automotive Square,Moderate,Motorcycle,Brake Failure,Rainy,3,0,2,Yes,SIMULATED,True
NGP-00537,2022-08-05,2022,15:04,Abhyankar Nagar Square,Minor,Motorcycle,Brake Failure,Overcast,0,0,2,Yes,SIMULATED,True
NGP-00538,2022-08-06,2022,20:19,Automotive Square,Minor,Truck,Drunk Driving,Hot/Humid,0,0,1,Yes,SIMULATED,True
NGP-00539,2022-08-07,2022,18:25,Chhatrapati Square,Severe,Pedestrian-involved,Signal Jumping,Clear,4,0,1,Yes,SIMULATED,True
NGP-00540,2022-08-08,2022,13:17,Ajit Bakery Square,Minor,Motorcycle,Brake Failure,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00541,2022-08-10,2022,16:42,Kadbi Chowk,Minor,Car,Pedestrian Crossing Violation,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00542,2022-08-11,2022,17:54,Lokmat Square,Minor,Car,Pedestrian Crossing Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00543,2022-08-13,2022,09:13,Laxmi Nagar Square,Minor,Motorcycle,Drunk Driving,Clear,0,0,3,Yes,SIMULATED,True
NGP-00544,2022-08-13,2022,15:52,Vaishnodevi Chowk,Minor,Motorcycle,Signal Jumping,Rainy,1,0,4,Yes,SIMULATED,True
NGP-00545,2022-08-14,2022,08:52,Mental Hospital Chowk,Moderate,Motorcycle,Pothole/Road Defect,Rainy,2,0,2,Yes,SIMULATED,True
NGP-00546,2022-08-17,2022,15:47,Jhansi Rani Square,Minor,Auto-Rickshaw,Drunk Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00547,2022-08-18,2022,12:01,Golibar Chowk,Minor,Motorcycle,Signal Jumping,Clear,1,0,1,No,SIMULATED,True
NGP-00548,2022-08-18,2022,19:05,Variety Square,Minor,Car,Pothole/Road Defect,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-00550,2022-08-19,2022,11:22,Kadbi Chowk,Minor,Motorcycle,Drunk Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00549,2022-08-19,2022,15:00,Airport T-Point,Severe,Motorcycle,Pothole/Road Defect,Rainy,5,0,2,Yes,SIMULATED,True
NGP-00551,2022-08-19,2022,23:55,Laxmi Nagar Square,Moderate,Bus,Poor Visibility (Fog/Rain),Rainy,2,0,1,Yes,SIMULATED,True
NGP-00552,2022-08-22,2022,11:30,Bardi Chowk,Minor,Motorcycle,Lane Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-00556,2022-08-23,2022,06:19,Indora Chowk,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,0,0,1,No,SIMULATED,True
NGP-00555,2022-08-23,2022,12:00,Chhatrapati Square,Severe,Bus,Wrong-side Driving,Clear,4,0,3,Yes,SIMULATED,True
NGP-00554,2022-08-23,2022,19:32,Automotive Square,Minor,Motorcycle,Lane Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00553,2022-08-23,2022,20:42,Airport T-Point,Minor,Truck,Distracted Driving,Clear,0,0,4,No,SIMULATED,True
NGP-00557,2022-08-26,2022,09:01,Bardi Chowk,Minor,Motorcycle,Poor Visibility (Fog/Rain),Clear,0,0,4,Yes,SIMULATED,True
NGP-00558,2022-08-27,2022,15:25,Chhatrapati Square,Severe,Motorcycle,Wrong-side Driving,Hot/Humid,4,0,3,Yes,SIMULATED,True
NGP-00559,2022-08-27,2022,18:28,Manakpur Chowk,Moderate,Motorcycle,Distracted Driving,Foggy,1,0,2,Yes,SIMULATED,True
NGP-00560,2022-08-28,2022,09:56,Medical Chowk,Minor,Bus,Pedestrian Crossing Violation,Clear,0,0,1,No,SIMULATED,True
NGP-00561,2022-08-30,2022,20:26,Variety Square,Moderate,Bus,Distracted Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-00562,2022-09-01,2022,07:46,Bardi Chowk,Minor,Motorcycle,Brake Failure,Overcast,0,0,4,Yes,SIMULATED,True
NGP-00563,2022-09-03,2022,09:19,LIC Chowk,Moderate,Pedestrian-involved,Poor Visibility (Fog/Rain),Clear,1,0,1,Yes,SIMULATED,True
NGP-00565,2022-09-03,2022,10:52,Pratap Nagar Chowk,Minor,Auto-Rickshaw,Drunk Driving,Clear,0,0,3,No,SIMULATED,True
NGP-00564,2022-09-03,2022,19:25,Mental Hospital Chowk,Moderate,Auto-Rickshaw,Wrong-side Driving,Rainy,2,0,3,Yes,SIMULATED,True
NGP-00566,2022-09-05,2022,20:16,Indora Chowk,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,0,0,2,No,SIMULATED,True
NGP-00567,2022-09-11,2022,18:00,Ajni Chowk,Fatal,Car,Overspeeding,Hot/Humid,2,2,3,Yes,SIMULATED,True
NGP-00568,2022-09-12,2022,22:25,Mate Chowk,Minor,Motorcycle,Signal Jumping,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00570,2022-09-13,2022,05:31,Katol Road Chowk,Moderate,Bus,Brake Failure,Clear,3,0,3,Yes,SIMULATED,True
NGP-00569,2022-09-13,2022,19:56,Alankar Square,Minor,Motorcycle,Lane Violation,Clear,0,0,1,No,SIMULATED,True
NGP-00571,2022-09-14,2022,00:02,Kamptee Chowk,Minor,Auto-Rickshaw,Overspeeding,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00572,2022-09-18,2022,14:12,Medical Chowk,Minor,Car,Signal Jumping,Clear,0,0,2,No,SIMULATED,True
NGP-00573,2022-09-19,2022,11:23,Bardi Chowk,Severe,Pedestrian-involved,Brake Failure,Clear,3,0,4,Yes,SIMULATED,True
NGP-00574,2022-09-19,2022,12:29,Dighori Chowk,Moderate,Bus,Overspeeding,Overcast,2,0,2,Yes,SIMULATED,True
NGP-00575,2022-09-20,2022,08:36,Dighori Chowk,Minor,Bus,Brake Failure,Overcast,1,0,1,Yes,SIMULATED,True
NGP-00576,2022-09-20,2022,19:06,LIC Chowk,Moderate,Motorcycle,Brake Failure,Hot/Humid,2,0,4,Yes,SIMULATED,True
NGP-00577,2022-09-21,2022,17:20,Manakpur Chowk,Moderate,Motorcycle,Signal Jumping,Clear,3,0,2,Yes,SIMULATED,True
NGP-00578,2022-09-21,2022,17:48,Shankar Nagar Square,Severe,Bicycle,Wrong-side Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-00579,2022-09-23,2022,10:33,Kamptee Chowk,Fatal,Car,Brake Failure,Rainy,2,2,4,Yes,SIMULATED,True
NGP-00580,2022-09-27,2022,12:45,Dighori Chowk,Severe,Car,Lane Violation,Clear,5,0,3,Yes,SIMULATED,True
NGP-00581,2022-09-27,2022,21:52,Medical Chowk,Moderate,Pedestrian-involved,Pothole/Road Defect,Clear,2,0,1,Yes,SIMULATED,True
NGP-00584,2022-09-28,2022,11:53,Variety Square,Minor,Truck,Drunk Driving,Foggy,0,0,1,Yes,SIMULATED,True
NGP-00582,2022-09-28,2022,18:38,Airport T-Point,Moderate,Motorcycle,Poor Visibility (Fog/Rain),Clear,3,0,4,Yes,SIMULATED,True
NGP-00583,2022-09-28,2022,19:13,Lokmat Square,Minor,Car,Drunk Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00585,2022-09-30,2022,06:01,Lokmat Square,Minor,Pedestrian-involved,Overspeeding,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00587,2022-09-30,2022,15:15,Variety Square,Minor,Bus,Drunk Driving,Overcast,1,0,4,No,SIMULATED,True
NGP-00586,2022-09-30,2022,17:34,Shraddhanand Peth Square,Minor,Car,Pedestrian Crossing Violation,Rainy,1,0,2,Yes,SIMULATED,True
NGP-00588,2022-10-01,2022,17:16,LIC Chowk,Minor,Motorcycle,Distracted Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00589,2022-10-02,2022,09:20,Airport T-Point,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,0,0,2,Yes,SIMULATED,True
NGP-00590,2022-10-02,2022,19:32,Lokmat Square,Moderate,Car,Overspeeding,Clear,2,0,4,Yes,SIMULATED,True
NGP-00591,2022-10-03,2022,16:43,Dighori Chowk,Minor,Auto-Rickshaw,Drunk Driving,Foggy,0,0,1,Yes,SIMULATED,True
NGP-00592,2022-10-05,2022,16:34,Automotive Square,Moderate,Pedestrian-involved,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00594,2022-10-06,2022,02:44,Vaishnodevi Chowk,Moderate,Car,Poor Visibility (Fog/Rain),Clear,1,0,1,Yes,SIMULATED,True
NGP-00593,2022-10-06,2022,18:59,Gaddi Godam Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,3,Yes,SIMULATED,True
NGP-00595,2022-10-07,2022,10:39,Hingna Chowk,Minor,Truck,Distracted Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00596,2022-10-09,2022,06:43,Pardi Chowk,Minor,Bus,Pedestrian Crossing Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00597,2022-10-09,2022,12:57,RBI Chowk,Moderate,Car,Distracted Driving,Clear,3,0,3,Yes,SIMULATED,True
NGP-00598,2022-10-10,2022,08:24,LIC Chowk,Moderate,Motorcycle,Distracted Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-00599,2022-10-12,2022,08:18,Automotive Square,Moderate,Motorcycle,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00600,2022-10-13,2022,21:12,Pardi Chowk,Minor,Bicycle,Wrong-side Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00601,2022-10-14,2022,16:14,Kasturchand Park Square,Minor,Bus,Brake Failure,Rainy,1,0,4,Yes,SIMULATED,True
NGP-00603,2022-10-14,2022,17:46,Variety Square,Moderate,Motorcycle,Distracted Driving,Clear,2,0,1,Yes,SIMULATED,True
NGP-00602,2022-10-14,2022,23:07,Manewada Chowk,Severe,Pedestrian-involved,Distracted Driving,Foggy,4,0,4,Yes,SIMULATED,True
NGP-00604,2022-10-15,2022,17:06,Pratap Nagar Chowk,Minor,Car,Wrong-side Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-00605,2022-10-15,2022,17:49,Sitabuldi Chowk,Severe,Auto-Rickshaw,Distracted Driving,Clear,2,0,3,Yes,SIMULATED,True
NGP-00607,2022-10-16,2022,13:05,Cotton Market Chowk,Severe,Pedestrian-involved,Overspeeding,Clear,2,0,1,No,SIMULATED,True
NGP-00606,2022-10-16,2022,13:50,Bardi Chowk,Severe,Auto-Rickshaw,Poor Visibility (Fog/Rain),Hot/Humid,5,0,4,Yes,SIMULATED,True
NGP-00608,2022-10-17,2022,11:57,Ajit Bakery Square,Moderate,Car,Poor Visibility (Fog/Rain),Clear,2,0,1,Yes,SIMULATED,True
NGP-00609,2022-10-18,2022,16:18,Ajni Chowk,Minor,Bus,Poor Visibility (Fog/Rain),Clear,0,0,4,Yes,SIMULATED,True
NGP-00610,2022-10-18,2022,18:21,Gaddi Godam Chowk,Severe,Car,Lane Violation,Clear,5,0,4,Yes,SIMULATED,True
NGP-00611,2022-10-21,2022,02:49,Automotive Square,Moderate,Motorcycle,Distracted Driving,Clear,1,0,3,No,SIMULATED,True
NGP-00612,2022-10-21,2022,09:20,Dighori Chowk,Minor,Pedestrian-involved,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00613,2022-10-22,2022,12:38,Sakkardara Square,Moderate,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,2,0,3,Yes,SIMULATED,True
NGP-00614,2022-10-24,2022,18:27,Variety Square,Moderate,Motorcycle,Overspeeding,Rainy,1,0,3,Yes,SIMULATED,True
NGP-00615,2022-10-25,2022,21:46,Ajit Bakery Square,Minor,Auto-Rickshaw,Signal Jumping,Clear,0,0,4,Yes,SIMULATED,True
NGP-00616,2022-10-26,2022,20:32,Vaishnodevi Chowk,Minor,Auto-Rickshaw,Lane Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-00617,2022-10-29,2022,16:27,Alankar Square,Minor,Pedestrian-involved,Poor Visibility (Fog/Rain),Clear,1,0,3,Yes,SIMULATED,True
NGP-00619,2022-10-31,2022,11:53,Kamptee Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-00618,2022-10-31,2022,18:42,Cotton Market Chowk,Minor,Truck,Wrong-side Driving,Clear,0,0,3,Yes,SIMULATED,True
NGP-00620,2022-11-02,2022,07:24,Automotive Square,Minor,Car,Pedestrian Crossing Violation,Foggy,0,0,4,Yes,SIMULATED,True
NGP-00622,2022-11-07,2022,18:20,Kamptee Chowk,Moderate,Motorcycle,Wrong-side Driving,Clear,3,0,3,Yes,SIMULATED,True
NGP-00621,2022-11-07,2022,18:44,Dighori Chowk,Severe,Car,Pothole/Road Defect,Clear,4,0,4,Yes,SIMULATED,True
NGP-00624,2022-11-09,2022,09:28,Alankar Square,Moderate,Car,Wrong-side Driving,Clear,3,0,3,Yes,SIMULATED,True
NGP-00623,2022-11-09,2022,18:07,Airport T-Point,Minor,Car,Pedestrian Crossing Violation,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00625,2022-11-11,2022,18:20,Airport T-Point,Minor,Motorcycle,Wrong-side Driving,Overcast,0,0,1,Yes,SIMULATED,True
NGP-00626,2022-11-12,2022,21:55,Katol Road Chowk,Minor,Motorcycle,Drunk Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-00627,2022-11-13,2022,08:31,Manakpur Chowk,Moderate,Auto-Rickshaw,Overspeeding,Hot/Humid,3,0,3,Yes,SIMULATED,True
NGP-00629,2022-11-17,2022,12:31,Sakkardara Square,Minor,Bus,Lane Violation,Rainy,1,0,1,Yes,SIMULATED,True
NGP-00628,2022-11-17,2022,19:39,Indora Chowk,Minor,Bicycle,Pedestrian Crossing Violation,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-00631,2022-11-18,2022,08:44,LAD Square,Minor,Truck,Pothole/Road Defect,Overcast,1,0,4,Yes,SIMULATED,True
NGP-00630,2022-11-18,2022,15:28,Ajit Bakery Square,Moderate,Truck,Pothole/Road Defect,Clear,2,0,1,Yes,SIMULATED,True
NGP-00633,2022-11-19,2022,09:45,Lokmat Square,Minor,Motorcycle,Signal Jumping,Clear,0,0,2,Yes,SIMULATED,True
NGP-00632,2022-11-19,2022,19:40,Airport T-Point,Minor,Truck,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00634,2022-11-21,2022,05:32,Ajit Bakery Square,Minor,Pedestrian-involved,Pothole/Road Defect,Clear,0,0,3,Yes,SIMULATED,True
NGP-00635,2022-11-22,2022,12:25,Ajit Bakery Square,Fatal,Motorcycle,Lane Violation,Hot/Humid,3,1,2,Yes,SIMULATED,True
NGP-00636,2022-11-23,2022,16:05,Lokmat Square,Minor,Motorcycle,Wrong-side Driving,Hot/Humid,0,0,4,Yes,SIMULATED,True
NGP-00639,2022-11-25,2022,11:49,Cotton Market Chowk,Minor,Bicycle,Drunk Driving,Rainy,1,0,4,Yes,SIMULATED,True
NGP-00638,2022-11-25,2022,14:33,Alankar Square,Minor,Truck,Signal Jumping,Clear,0,0,1,Yes,SIMULATED,True
NGP-00637,2022-11-25,2022,14:54,Ajni Chowk,Minor,Auto-Rickshaw,Wrong-side Driving,Foggy,1,0,4,Yes,SIMULATED,True
NGP-00640,2022-11-25,2022,20:15,Manakpur Chowk,Severe,Car,Brake Failure,Overcast,4,0,4,Yes,SIMULATED,True
NGP-00641,2022-11-28,2022,09:54,LIC Chowk,Minor,Motorcycle,Brake Failure,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00642,2022-12-01,2022,14:11,Variety Square,Moderate,Auto-Rickshaw,Signal Jumping,Hot/Humid,2,0,4,Yes,SIMULATED,True
NGP-00643,2022-12-07,2022,21:25,Abhyankar Nagar Square,Minor,Motorcycle,Overspeeding,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00644,2022-12-09,2022,05:26,LIC Chowk,Minor,Motorcycle,Overspeeding,Clear,0,0,2,Yes,SIMULATED,True
NGP-00645,2022-12-11,2022,12:51,LIC Chowk,Fatal,Motorcycle,Drunk Driving,Clear,1,1,2,Yes,SIMULATED,True
NGP-00646,2022-12-11,2022,19:40,Vaishnodevi Chowk,Moderate,Car,Wrong-side Driving,Rainy,2,0,3,Yes,SIMULATED,True
NGP-00647,2022-12-13,2022,07:09,Shankar Nagar Square,Minor,Auto-Rickshaw,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-00648,2022-12-14,2022,15:23,Itwari,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,2,0,4,Yes,SIMULATED,True
NGP-00649,2022-12-15,2022,12:56,Medical Chowk,Minor,Truck,Wrong-side Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-00650,2022-12-16,2022,17:45,Vaishnodevi Chowk,Minor,Car,Brake Failure,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00651,2022-12-17,2022,15:08,Golibar Chowk,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00652,2022-12-19,2022,16:38,Kamptee Chowk,Moderate,Motorcycle,Overspeeding,Clear,3,0,4,Yes,SIMULATED,True
NGP-00653,2022-12-20,2022,09:23,Chhatrapati Square,Moderate,Car,Distracted Driving,Foggy,1,0,2,Yes,SIMULATED,True
NGP-00654,2022-12-20,2022,13:30,Manewada Chowk,Minor,Car,Poor Visibility (Fog/Rain),Foggy,1,0,3,Yes,SIMULATED,True
NGP-00656,2022-12-22,2022,08:24,Automotive Square,Minor,Motorcycle,Lane Violation,Clear,0,0,4,No,SIMULATED,True
NGP-00657,2022-12-22,2022,10:07,Sitabuldi Chowk,Severe,Pedestrian-involved,Drunk Driving,Clear,5,0,2,Yes,SIMULATED,True
NGP-00655,2022-12-22,2022,14:31,Ajit Bakery Square,Moderate,Motorcycle,Brake Failure,Rainy,2,0,3,Yes,SIMULATED,True
NGP-00658,2022-12-23,2022,15:09,Manish Nagar-Besa Junction,Severe,Motorcycle,Pothole/Road Defect,Clear,5,0,3,Yes,SIMULATED,True
